,caseId,caseName,assetsClassifyCode,assetsClassifyName,assetsTypes,lawsReference,longitude,latitude,addresses,govInstitution,govDeptName,govDeptAddress,govDeptPhone,caseUrl,announcementList
611,19990525000003,打狗公學校(旗津國小),1.1.2,直轄市定古蹟,"[{'code': 'A99', 'name': '其他設施', 'other': '學校'}]",<<古蹟指定及廢止審查辦法>>第2條第1項第1款,120.271907,22.608462,"[{'itemNo': 1, 'cityName': '高雄市', 'distName': '旗津區', 'address': '中洲三路623號'}]",高雄市政府文化局,文化資產中心,高雄市苓雅區 五福一路67號,(07)222-5136分機8421,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/monument/19990525000003"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/monument/19990525000003</a>","[{'classification': '指定/登錄', 'officialDocNo': '高市府民三字第15660號', 'registerDate': '1999-05-25 00:00:00.0'}]"
612,19851127000080,旗後燈塔,1.1.2,直轄市定古蹟,"[{'code': 'A14', 'name': '燈塔'}]",<<古蹟指定及廢止審查辦法>>第2條第1項第1款,120.264958177247,22.6153956920286,"[{'itemNo': 1, 'cityName': '高雄市', 'distName': '旗津區', 'address': '旗下里旗下巷34號'}]",高雄市政府文化局,文化資產中心,高雄市苓雅區 五福一路67號,(07)222-5136分機8322,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/monument/19851127000080"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/monument/19851127000080</a>","[{'classification': '指定/登錄', 'officialDocNo': '74臺內民字357272號', 'registerDate': '1985-11-27 10:59:28.0'}]"
613,20050311000001,台灣煉瓦會社打狗工場〈中都唐榮磚窯廠〉,1.1.1,國定古蹟,"[{'code': 'A16', 'name': '產業'}]",文化資產保存法第27條,120.284501381626,22.6418715726752,"[{'itemNo': 1, 'cityName': '高雄市', 'distName': '三民區', 'address': '高雄市三民區中華橫路220號'}]",高雄市政府文化局,第二科,高雄市苓雅區 五福一路67號,(07)222-5136分機8321,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/monument/20050311000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/monument/20050311000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '台內民字第0940002943號', 'registerDate': '2005-03-11 17:10:40.0'}]"
614,20040409000003,三塊厝火車站,1.1.2,直轄市定古蹟,"[{'code': 'A7', 'name': '車站'}]",<<古蹟指定及廢止審查辦法>>第2條第1項第1款,120.293720176345,22.6388085058421,"[{'itemNo': 1, 'cityName': '高雄市', 'distName': '三民區', 'address': '高雄市三民區三德西街90巷底'}]",高雄市政府文化局,文化資產中心,高雄市苓雅區 五福一路67號,(07)222-5136分機8421,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/monument/20040409000003"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/monument/20040409000003</a>","[{'classification': '指定/登錄', 'officialDocNo': '高市府文二字第0930020248號', 'registerDate': '2004-04-09 09:36:44.0'}]"
615,20140729000001,日本第六海軍燃料廠丁種官舍(中油宏南舊丁種雙併宿舍),1.1.2,直轄市定古蹟,"[{'code': 'A3', 'name': '宅第'}]",<<古蹟指定及廢止審查辦法>>第2條第1項第1、3、4、6款,120.329685,22.672645,"[{'itemNo': 1, 'cityName': '高雄市', 'distName': '楠梓區', 'address': '高雄市楠梓區宏毅一路5巷2號及4號'}]",高雄市政府,文化局文資中心,高雄市苓雅區 五福一路67號,07-2225136#8322,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/monument/20140729000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/monument/20140729000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '高市府文資字第10331131101號函', 'registerDate': '2014-07-29 10:57:15.0'}]"
616,20070531000001,楠梓天后宮,1.1.2,直轄市定古蹟,"[{'code': 'A2', 'name': '寺廟'}]",<<古蹟指定及廢止審查辦法>>第2條第1項第1、3、5款,120.330120647921,22.727907184422,"[{'itemNo': 1, 'cityName': '高雄市', 'distName': '楠梓區', 'address': '楠梓路1號'}]",高雄市政府,文資中心,高雄市苓雅區五福一路67號,(07)222-5136#8322,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/monument/20070531000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/monument/20070531000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '高市府文二字第0960028276號', 'registerDate': '2007-05-31 09:31:47.0'}]"
617,20140811000001,左營廍後薛家古厝,1.1.2,直轄市定古蹟,"[{'code': 'A3', 'name': '宅第'}]",<<古蹟指定及廢止審查辦法>>第2條第1項第1、3、4、5款,120.287765625322,22.6857948078336,"[{'itemNo': 1, 'cityName': '高雄市', 'distName': '左營區', 'address': '海平路40 號'}]",高雄市政府文化局,文化資產中心,高雄市苓雅區 五福一路67號,(07)222-5136分機8432,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/monument/20140811000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/monument/20140811000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '高市府文資字第10331198101號', 'registerDate': '2014-08-11 14:01:52.0'}]"
618,19850819000083,鳳山縣舊城,1.1.1,國定古蹟,"[{'code': 'A4', 'name': '城郭'}]",符合《文化資產保存法》第3條第1款第1目及《古蹟指定及廢止審查辦法》第2條第1項及第2項規定。,120.290545506173,22.6750647005004,"[{'itemNo': 1, 'cityName': '高雄市', 'distName': '左營區', 'address': '興隆段158-1號等'}]",文化部,文化資產局,臺中市南區復興路三段362號,04-22177777,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/monument/19850819000083"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/monument/19850819000083</a>","[{'classification': '指定/登錄', 'officialDocNo': '74台內民字第338095號', 'registerDate': '1985-08-19 11:00:09.0'}]"
619,20080521000001,原烏樹林製鹽株式會社辦公室,1.1.2,直轄市定古蹟,"[{'code': 'A16', 'name': '產業'}]",<<古蹟指定及廢止審查辦法>>第2條第1項第4、5款,120.210830830896,22.8375400326202,"[{'itemNo': 1, 'cityName': '高雄市', 'distName': '永安區', 'address': '高雄市永安區鹽田里鹽田路51號'}]",高雄市政府文化局,文化資產中心,高雄市苓雅區五福一路67號,(07)222-5136分機8128,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/monument/20080521000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/monument/20080521000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文資字第0990004302 號', 'registerDate': '2010-04-20 00:00:00.0'}]"
620,19880226000003,明寧靖王墓,1.1.2,直轄市定古蹟,"[{'code': 'A12', 'name': '墓葬'}]",<<古蹟指定及廢止審查辦法>>第2條第1項第1、2、4款,120.239198363653,22.8789927617726,"[{'itemNo': 1, 'cityName': '高雄市', 'distName': '湖內區', 'address': '高雄市湖內區湖內里東方路上 (鄰近東方設計學院)'}]",高雄市政府文化局,文化資產中心,高雄市苓雅區五福一路67號,(07)222-5136分機8725,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/monument/19880226000003"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/monument/19880226000003</a>","[{'classification': '指定/登錄', 'officialDocNo': '台（77）內民字第564863號', 'registerDate': '1988-02-26 10:58:28.0'}]"
