,caseId,caseName,assetsTypes,lawsReference,longitude,latitude,addresses,govInstitution,govDeptName,govDeptAddress,govDeptPhone,caseUrl,announcementList,name,city,distinct,address
9,20121029000001,原辰馬商會本町店鋪,"{'code': 'A3', 'name': '宅第'}",符合歷史建築登錄廢止審查及輔助辦法第2條第1項第1、3、4款評定基準,121.513363,25.045615,"{'itemNo': 2, 'cityName': '臺北市', 'distName': '中正區', 'address': '重慶南路1段27號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20121029000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20121029000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '北市文化二字第10130396200號', 'registerDate': '2012-10-29 00:00:00.0', 'note': '登錄歷史建築'}]",宅第,臺北市,中正區,重慶南路1段27號
10,20121029000002,峰圃茶莊,"{'code': 'A3', 'name': '宅第'}",符合歷史建築登錄廢止審查及輔助辦法第2條第1項第1、3、4款評定基準。,121.51336,25.045339,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '重慶南路1段35號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20121029000002"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20121029000002</a>","[{'classification': '指定/登錄', 'officialDocNo': '北市文化二字第10130396100號', 'registerDate': '2012-10-29 00:00:00.0', 'note': '登錄歷史建築'}]",宅第,臺北市,中正區,重慶南路1段35號
11,20130611000001,國立中央圖書館舊址,"{'code': 'A6', 'name': '衙署'}",符合歷史建築登錄廢止審查及輔助辦法第2條第1項第1、4款評定基準,121.5120744,25.0322928,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '南海路43號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20130611000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20130611000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '北市文化二字第10230334500號', 'registerDate': '2013-06-11 00:00:00.0', 'note': '登錄歷史建築'}]",衙署,臺北市,中正區,南海路43號
12,20140408000001,原警察局中正二分局(牯嶺街小劇場),"{'code': 'A6', 'name': '衙署'}",符合歷史建築登錄廢止審查及輔助辦法第2條第1項第1、4款評定基準,121.5153256,25.0317387,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '牯嶺街5巷2號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20140408000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20140408000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '北市文化文資字第10330351900', 'registerDate': '2014-04-08 00:00:00.0', 'note': '登錄歷史建築'}]",衙署,臺北市,中正區,牯嶺街5巷2號
13,20140822000001,龍口町「塵芥燒却場」,"{'code': 'A16', 'name': '產業'}",歷史建築登錄廢止審查及輔助辦法第2條第1項第1、3、4款。,121.5079987,25.0307499,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '和平西路二段104巷內'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20140822000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20140822000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '北市文化文資字第10330429500號', 'registerDate': '2014-08-22 00:00:00.0', 'note': '登錄歷史建築'}]",產業,臺北市,中正區,和平西路二段104巷內
14,20030505000001,第一外科診所,"{'code': 'A99', 'name': '其他設施', 'other': '其他'}",<<歷史建築登錄廢止審查及輔助辦法>>第2條第1項第1款,121.5125885,25.0459143,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '開封街1段32號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20030505000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20030505000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09200508000號', 'registerDate': '2003-05-05 00:00:00.0', 'note': '登錄歷史建築'}]",其他設施,臺北市,中正區,開封街1段32號
15,20041230000001,延平南路45號,"{'code': 'A99', 'name': '其他設施'}",<<歷史建築登錄廢止審查及輔助辦法>>第2條第1項第1款,121.5105034,25.0450698,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '延平南路45號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041230000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041230000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304460300號', 'registerDate': '2004-12-30 00:00:00.0', 'note': '登錄歷史建築'}]",其他設施,臺北市,中正區,延平南路45號
16,20041222000001,汀州路台鐵舊宿舍,"{'code': 'A3', 'name': '宅第'}",文化資產保存法第15條,121.53179,25.015623,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '羅斯福路三段316巷9弄1號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041222000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041222000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304459500號', 'registerDate': '2004-12-22 00:00:00.0', 'note': '登錄歷史建築'}]",宅第,臺北市,中正區,羅斯福路三段316巷9弄1號
16,20041222000001,汀州路台鐵舊宿舍,"{'code': 'A3', 'name': '宅第'}",文化資產保存法第15條,121.53179,25.015623,"{'itemNo': 2, 'cityName': '臺北市', 'distName': '中正區', 'address': '羅斯福路三段316巷9弄3號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041222000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041222000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304459500號', 'registerDate': '2004-12-22 00:00:00.0', 'note': '登錄歷史建築'}]",宅第,臺北市,中正區,羅斯福路三段316巷9弄3號
16,20041222000001,汀州路台鐵舊宿舍,"{'code': 'A3', 'name': '宅第'}",文化資產保存法第15條,121.53179,25.015623,"{'itemNo': 3, 'cityName': '臺北市', 'distName': '中正區', 'address': '羅斯福路三段316巷9弄5號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041222000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041222000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304459500號', 'registerDate': '2004-12-22 00:00:00.0', 'note': '登錄歷史建築'}]",宅第,臺北市,中正區,羅斯福路三段316巷9弄5號
